origins,religions,quotes,sibling_names,nicknames,gender,pronunciation,popularity,aliases,similar_names,id,name,siblings,similar,alias,scrollPaneWidth,known_siblings,affiliations,Svara, punggung,scrollPane_0,scrollPane_1
[],[],[],[],[],,,,[],[],298396,Naeman,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Happiness, Delight, Comfort, Pleasure', 'description': None}]",[],[],[],[],Feminine,,,[],[],298397,Naemat,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'blessing, bountiful, pleasing', 'description': None}]",[],[],[],[],Feminine,nay-MAH,,[],[],298395,Naemah,,,,,,,,,,
"[{'origin': 'Hawaiian', 'meanings': 'a beautiful flower', 'description': None}]",[],[],[],[],Feminine,na-EN-ae,,[],[],298400,Naenae,,,,,,,,,,
"[{'origin': 'Greek', 'meanings': 'lament', 'description': 'Funeral lament or dirge song among ancient Greeks.'}]",[],[],[],[],Feminine,NAY-nee-ah,,[],[],298401,Naenia,,,,,,,,,,
"[{'origin': 'Hebrew', 'meanings': 'Pleasantness, sweetness', 'description': None}]",[],[],[],"['Neta', 'Nami', 'Naama']",Feminine,nay-ee-mee,,[],"['Naomi', 'Noemi', 'Nemesis', 'Nema', 'Nima']",298398,Naemi,,,,,,,,,,
"[{'origin': 'Hawaiian', 'meanings': 'beautiful', 'description': None}]",[],[],[],[],Feminine,NY-nah,,[],"['Naenae', 'Naenae', 'Naenae', 'Naenae']",298399,Naena,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Pleasant, Delightful, Felicitous', 'description': None}, {'origin': 'Urdu', 'meanings': 'Comforting, Blissful', 'description': None}]",[],[],[],[],Feminine,nay-ma,,[],"['Naema', 'Naima', 'Nema', 'Naeema']",298394,Naema,,,,,,,,,,
"[{'origin': 'Aztec', 'meanings': 'one who can move water', 'description': None}]",[],[],[],[],Feminine,nay-oh-LEE-ah,,[],[],298402,Naeolyiah,,,,,,,,,,
"[{'origin': 'French', 'meanings': 'Pleasant', 'description': None}, {'origin': 'Hebrew', 'meanings': 'Beautiful, Devoted to God', 'description': None}]",['Christian'],[],"['Aaliyah', 'Elijah', 'Isabella', 'Benjamin', 'Mia', 'Alexander', 'Emma', 'Ethan']",[],Feminine,nay-OH-mee,78,[],"['Naomi', 'Noemie', 'Noemi', 'Naomie', 'Naomy', 'Naoimi', ""Na'oimh""]",298404,Naeomie,,,,,,,,,,
"[{'origin': 'American', 'meanings': 'He who is strong', 'description': 'This name is derived from the Native American language and is commonly used among African-American communities.'}]",[],[],[],[],Masculine,Nae-Kwon,,[],[],298406,Naequan,,,,,,,,,,
"[{'origin': 'Korean', 'meanings': 'Wings', 'description': 'It is used as a symbol of freedom and hope.'}]",[],[],[],[],Unisex,nah-oh-ree,78,[],"['Nari', 'Nara', 'Noe', 'Nami', 'Naya', 'Nadia', 'Nina', 'Nova', 'Nala', 'Noa']",298405,Naeori,,,,,,,,,,
"[{'origin': 'Hebrew', 'meanings': 'young, fair child', 'description': 'Originally a variant of Noora'}]",[],[],[],[],Feminine,nay-ee-ruh,,[],[],298407,Naera,,,,,,,,,,
[],[],[],,[],Masculine,,,,,298409,Naerebout,[],[],[],,,,,,,
"[{'origin': 'Hebrew', 'meanings': 'Lovely, sweet, pleasant', 'description': 'In the Bible, Naomi was the mother-in-law of Ruth.'}]","['Christianity', 'Judaism']","['Naomi was a beautiful woman, and she had a kind heart.', 'Naomi was a strong woman, and she never gave up hope, even when things were difficult.', 'Naomi was a loving woman, and she always put the needs of others before her own.']","['Ruth', 'Esther', 'Rachel', 'Leah', 'Sarah']","['Noami', 'Nomi', 'Nao', 'Nae', 'Mimi']",Feminine,nay-oh-mee,78,"['Neyomi', 'Naama', 'Noama', 'Noemi', 'Naomy']","['Naomi', 'Noemi', 'Nova', 'Nevaeh', 'Natalie']",298403,Naeomi,,,,,,,,,,
"[{'origin': 'Korean', 'meanings': 'beautiful stone', 'description': None}]",[],[],[],[],Feminine,,,[],[],298410,Naes,,,,,,,,,,
"[{'origin': 'Native American', 'meanings': 'brave', 'description': 'This name is of Native American origin and means ""brave.""'}]",[],[],[],[],Masculine,nay-SHAWN,,[],[],298413,Naeshawn,,,,,,,,,,
"[{'origin': 'Sanskrit', 'meanings': 'protector of men', 'description': None}]",[],[],[],"['Nessie', 'Nae', 'Nay']",Feminine,nay-sha,,[],"['Naomi', 'Naida', 'Natasha']",298411,Naesha,,,,,,,,,,
"[{'origin': 'Norse', 'meanings': 'point', 'description': 'Naesse means ""point"" in Norse.'}]",[],[],[],[],Masculine,NAE-seh,,[],[],298416,Naesse,,,,,,,,,,
"[{'origin': 'Old Norse', 'meanings': 'power', 'description': 'From the Old Norse name ""Naess"", which means ""power"" and "" promontory.""'}]",[],[],[],[],Masculine,NAYZ,,[],[],298415,Naess,,,,,,,,,,
"[{'origin': 'Irish', 'meanings': 'champion', 'description': None}]",[],[],[],"['Nesh', 'Shaun']",Masculine,,,[],"['Naishon', 'Nashon']",298412,Naeshaun,,,,,,,,,,
"[{'origin': 'Irish', 'meanings': 'Champion, warrior', 'description': 'Derived from the Old Irish name Násán, which is a diminutive of the name Nás, meaning ""champion"" or ""warrior"".'}]",[],[],[],[],Masculine,NAY-sun,,[],[],298414,Naeson,,,,,,,,,,
"[{'origin': 'English', 'meanings': 'N/A', 'description': None}]",[],[],[],[],Feminine,,,[],[],298418,Naeta,,,,,,,,,,
"[{'origin': 'Hebrew', 'meanings': 'gift of God', 'description': None}]",[],[],[],[],Masculine,nay-THAHN-yul,,[],"['Nathaniel', 'Nathan', 'Nethaniel', 'Nathanael', 'Nathanial']",298420,Naethaniel,,,,,,,,,,
"[{'origin': 'Welsh', 'meanings': 'little Nathanael', 'description': 'Combination of the Celtic root ""nudd"" meaning ""little"" and the name ""Nathan,"" meaning ""gift"".'}]",[],[],"['Nathan', 'Natalya', 'Natalie', 'Nathaniel', 'Natasha']","['Nate', 'Nat', 'Ney']",Masculine,nay-than,,[],"['Nathan', 'Nathaniel', 'Nehemiah', 'Noah', 'Nicholas']",298419,Naethan,,,,,,,,,,
[],[],[],[],[],Masculine,,,[],[],298417,Naessens,,,,,,,,,,
"[{'origin': 'Welsh', 'meanings': 'valley', 'description': 'Variant of NATHAN with influence from the Celtic element *nad-'}, {'origin': 'Old English', 'meanings': 'little', 'description': 'Derived from a diminutive form of the Old English personal name NATA and NÆGA'}]",[],[],[],[],Masculine,NEH-thən,,[],"['Nathan', 'Natan', 'Nate', 'Nathon', 'Nathin']",298421,Naethen,,,,,,,,,,
"[{'origin': 'Irish', 'meanings': 'champion, victor', 'description': None}]",[],[],[],[],Masculine,,,[],[],298422,Naethr,,,,,,,,,,
[],[],[],[],[],,,,[],[],298426,Naetochi,,,,,,,,,,
"[{'origin': 'Igbo', 'meanings': 'My Father Has Given Me', 'description': 'Naeto is a name that is traditionally given to Igbo boys in Nigeria.'}]",['Christianity'],[],[],[],Masculine,nay-toh,,[],[],298425,Naeto,,,,,,,,,,
"[{'origin': 'Welsh', 'meanings': 'of the river Neath', 'description': None}]",[],[],[],[],Masculine,NAYTH-in,,[],[],298424,Naethyn,,,,,,,,,,
"[{'origin': 'Irish', 'meanings': 'Sun Bright', 'description': 'Derived from the Irish ""naeth"" meaning ""sun"" and ""rad"" meaning ""bright, radiant""'}]",[],[],[],[],Feminine,nay-th-ra,,[],[],298423,Naethra,,,,,,,,,,
"[{'origin': 'Igbo', 'meanings': ""Father's child"", 'description': 'This name is commonly given to a child born after the death of their father.'}, {'origin': 'Igbo', 'meanings': 'Success by the Father', 'description': 'This name is given to a child who is seen as a blessing from their father.'}, {'origin': 'Igbo', 'meanings': 'My father is a warrior', 'description': 'This name is given to a child who is seen as a strong and courageous warrior.'}]",[],[],[],"['Nae', 'Tochukwu']",Masculine,nay-toe-CHOO-kwoo,,[],[],298427,Naetochukwu,,,,,,,,,,
"[{'origin': 'Hebrew', 'meanings': 'pleasantness, lovely', 'description': None}]",[],[],[],[],Feminine,nay-vah,,[],"['Neva', 'Nava', 'Noa', 'Maya', 'Ada', 'Ava']",298429,Naeva,,,,,,,,,,
"[{'origin': 'Aramaic', 'meanings': 'beautiful', 'description': ""Aramaic word 'na'evah' meaning 'beautiful.'""}, {'origin': 'Hebrew', 'meanings': 'beautiful', 'description': ""Hebrew name 'Na'avah' meaning 'beautiful.'""}, {'origin': 'English', 'meanings': 'heavenly', 'description': ""English word 'heaven' meaning 'heavenly.'""}, {'origin': 'Spanish', 'meanings': 'snow', 'description': ""Spanish word 'nieve' meaning 'snow.'""}]",[],[],[],[],Feminine,NAY-vuh,,[],"['Naeva', 'Naevaeh', 'Nevaeh', 'Nyla', 'Niah']",298430,Naevah,,,,,,,,,,
"[{'origin': 'Hebrew', 'meanings': 'Faithful, God, Prophet', 'description': None}, {'origin': 'Irish', 'meanings': 'Saint, Holy', 'description': None}]",[],[],"['Olivia', 'Emma', 'Isabella', 'Ava', 'Sophia']","['Navi', 'Neva', 'Evie', 'Nia', 'Neave']",Feminine,Nay-ve,24,[],"['Nevaeh', 'Navah', 'Neve', 'Nia', 'Noa']",298432,Naeveh,,,,,,,,,,
"[{'origin': 'Etruscan', 'meanings': 'sparkling, radiant', 'description': None}]",[],[],[],[],Feminine,(N)AY-vee-ah,,[],[],298434,Naevia,,,,,,,,,,
"[{'origin': 'Korean', 'meanings': 'grace, willow, brook', 'description': 'Possibly refers to the graceful willow tree or a small brook.'}]",[],[],[],[],Feminine,nah-uhn,,[],[],298428,Naeun,,,,,,,,,,
"[{'origin': 'Irish', 'meanings': 'saint, holy', 'description': 'Derived from the Gaelic word ""naomh"", meaning ""holy"" or ""saintly"".'}]",[],[],[],"['Neave', 'Neve', 'Nia', 'Viv']",Feminine,NAYV,,[],[],298431,Naeve,,,,,,,,,,
"[{'origin': 'Latin', 'meanings': 'mole, birthmark', 'description': 'Derived from the Latin word ""naevus"", meaning ""mole"" or ""birthmark""'}]",[],[],[],[],Feminine,NEI-vih,,[],[],298433,Naevi,,,,,,,,,,
"[{'origin': 'Welsh', 'meanings': 'Holy', 'description': 'Naevon is a form of the Welsh name Nefyn, which means ""holy"".'}]",[],[],[],[],Unisex,nay-von,,[],[],298437,Naevon,,,,,,,,,,
"[{'origin': 'Latin', 'meanings': 'birthmark', 'description': None}]",[],[],[],[],Masculine,nay-vius,,[],[],298436,Naevius,,,,,,,,,,
[],[],[],[],[],,,,[],[],298440,Naeye,,,,,,,,,,
"[{'origin': 'French', 'meanings': 'Waves, world, river', 'description': None}]",[],[],[],"['Neya', 'Nay']",Feminine,nay-ah,,[],"['Nadia', 'Naya', 'Nea', 'Neva', 'Nevaeh']",298438,Naeya,,,,,,,,,,
"[{'origin': 'English', 'meanings': 'Deliverance, Salvation', 'description': 'Derivative of the Hebrew name Naamah.'}]",['Christian'],[],[],"['Naya', 'Nae', 'Yah']",Feminine,Nay-uh,,[],"['Naomi', 'Nadia', 'Natalia', 'Nicole', 'Natalie']",298439,Naeyah,,,,,,,,,,
"[{'origin': 'Hawaii', 'meanings': 'heavenly', 'description': None}]",[],[],[],[],Feminine,na-ay-lee,,[],[],298441,Naeyli,,,,,,,,,,
"[{'origin': 'Native American', 'meanings': 'Weeping Waters', 'description': 'A name derived from the Dakota Sioux language.'}]",[],[],[],[],Feminine,nay-on-nah,,[],[],298442,Naeyonnah,,,,,,,,,,
"[{'origin': 'Native American', 'meanings': 'divine, goddess', 'description': 'Native American name derived from the Navajo language.'}]","['Christian', 'Wicca']","['She was the most beautiful girl I had ever seen, with long, flowing hair and big, doe-like eyes.', 'She was a goddess, a true beauty.', 'I will never forget the day I met her, she changed my life forever.']","['Abel', 'Abigail', 'Adam', 'Addison', 'Aidan', 'Alexander', 'Alexis', 'Alice', 'Amelia', 'Andrew']","['Nia', 'Navi', 'Neva', 'Via', 'Vi', 'Nea']",Feminine,nay-VEE-uh,76,"['Nevaeh', 'Navaeh']","['Nevaeh', 'Navaeh', 'Naveah', 'Nylah', 'Nailah', 'Nala', 'Nola', 'Nova', 'Olivia', 'Amelia']",298435,Naeviah,,,,,,,,,,
"[{'origin': 'Native American', 'meanings': 'meaning, purpose, intention', 'description': ""In Navajo and Apache cultures, Naeyé is a girl's name meaning 'meaning, purpose, intention.'""}]",[],[],[],[],Feminine,,,[],[],298443,Naeyé,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'precious', 'description': 'Means ""precious"" in Arabic.'}]",[],[],[],[],Feminine,,,[],[],298445,Nafa,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'valuable, useful', 'description': None}]",[],[],"['Nadine', 'Nafisa', 'Nadieh', 'Nadia']",[],Feminine,,,[],[],298444,Naf,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Profit, Benefit, Advantage', 'description': None}]",[],[],[],[],Unisex,,,[],[],298446,Nafaa,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'independence, permission', 'description': None}]",[],[],[],[],Feminine,,,[],[],298447,Nafaasat,,,,,,,,,,
"[{'origin': 'Basque', 'meanings': 'new place, new town', 'description': 'Derived from the Basque words ""nafar"" (new) and ""arte"" (place).'}]",[],[],[],[],,,,[],[],298450,Nafarrate,,,,,,,,,,
[],[],[],[],[],,,,[],[],298448,Nafanua,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Breath, Wind', 'description': ""Nafas is an Arabic feminine name derived from the root word 'nafas', which means 'breath' or 'wind'. It signifies the vital force that sustains life and can be seen as a symbol of the spirit, energy, and inspiration that drives individuals.""}]",['Muslim'],"['The breath of life is in the air, and it is free for all to enjoy.']",[],[],Feminine,NAH-fas,65,[],"['Nafeesa', 'Nafeesah', 'Nafeesa', 'Nafija', 'Nafiya']",298451,Nafas,,,,,,,,,,
"[{'origin': 'Swahili', 'meanings': 'I warned you', 'description': 'This name is a warning to those who do not listen.'}, {'origin': 'Arabic', 'meanings': 'worthy', 'description': 'This name is often given to boys who are expected to be successful in life.'}, {'origin': 'African', 'meanings': 'explorer', 'description': 'This name is given to boys who are expected to be adventurous and curious.'}]",[],[],[],[],Masculine,nah-FAR-ee,,[],"['Nafeez', 'Nabeel', 'Nabil', 'Nafis', 'Nafiz']",298449,Nafari,,,,,,,,,,
"[{'origin': 'Hebrew', 'meanings': 'my struggle', 'description': 'Means ""my struggle"" in Hebrew.'}]",[],[],[],[],Masculine,na-fat-li,,[],"['Naphtali', 'Neftalí', 'Naftali', 'Naftaly', 'Naftaliy']",298453,Nafatli,,,,,,,,,,
[],[],[],[],[],,,,[],[],298456,Nafe,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Useful, Beneficial', 'description': None}]",['Muslim'],[],[],[],Feminine,,,[],[],298455,Nafaya,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Gales', 'description': ""Nafasat is the plural form of 'Nafas' which refers to a strong gust of wind.""}]",['Muslim'],[],[],[],Feminine,nuh-fah-saht,,[],[],298452,Nafasat,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Beneficial, useful, helpful', 'description': None}]",['Muslim'],[],[],[],Masculine,nuh-fai,,[],[],298454,Nafay,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Breeze, Gentle, Tender, Delicate, Soft, Clever, Intelligent', 'description': None}]",[],[],[],[],Feminine,nah-FEE-sah,,[],[],298459,Nafeesa,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'valuable, precious, useful', 'description': ""Nafees is an Arabic name that means 'valuable, precious, useful'.""}]",['Muslim'],[],[],[],Masculine,nah-FEEZ,,[],[],298458,Nafees,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Highly Praised', 'description': None}, {'origin': 'Persian', 'meanings': 'Precious, Valuable', 'description': None}, {'origin': 'Urdu', 'meanings': 'Honor, Blessing', 'description': None}]",['Islam'],[],[],[],Masculine,nah-FEE,74,[],"['Nafees', 'Nafi', 'Nafeez']",298457,Nafee,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Precious, Delicate, Refined, Exquisite', 'description': None}, {'origin': 'African', 'meanings': 'Honored, Respected', 'description': None}]",[],[],[],[],Feminine,nah-FEE-seh,,[],[],298461,Nafeese,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Precious, Valuable, Rare', 'description': None}]",['Muslim'],[],[],[],Masculine,nah-FEEZ,,[],[],298463,Nafeez,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Soft, Precious, Delicate', 'description': None}, {'origin': 'Swahili', 'meanings': 'Blowing, Wind', 'description': None}, {'origin': 'Persian', 'meanings': 'Exalted, Lofty', 'description': None}]",['Muslim'],[],"['Zoha', 'Zara', 'Sara', 'Fatima', 'Aisha', 'Mariam', 'Muhammad', 'Ahmed', 'Ali', 'Ibrahim']","['Nia', 'Fee', 'Sha', 'Fifi', 'Fisha']",Feminine,nuh-FEE-shuh,55,[],"['Nafeesa', 'Nafeesah', 'Nafeesia', 'Nafeeshia', 'Nafeeza', 'Nafeezah']",298462,Nafeesha,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Victorious, Successful', 'description': ""Derived from the root word 'nafaza', meaning 'to conquer or prevail'.""}]",[],[],[],[],Feminine,/nəˈfiːzɑː/,,[],[],298465,Nafeezah,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Breeze, Gentle Wind', 'description': None}]",['Muslim'],[],[],[],Feminine,nah-FEE-sah,,[],[],298466,Nafesa,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Victorious, Helpful', 'description': 'Nafez is an Arabic name that means ""victorious"" or ""helpful.""'}]",['Muslim'],[],[],[],Masculine,/naːfɛz/,,[],[],298468,Nafez,,,,,,,,,,
"[{'origin': 'Yoruba', 'meanings': 'He/she who brings fortune', 'description': 'Means ""he/she who brings fortune"" in Yoruba.'}]",[],[],[],[],Unisex,nah-FEE-see,,[],[],298467,Nafese,,,,,,,,,,
[],[],[],[],[],,,,[],[],298471,Naffo,,,,,,,,,,
[],[],[],[],[],Feminine,,,[],[],298470,Naffie,,,,,,,,,,
[],[],[],[],[],Unisex,,,[],[],298472,Naffy,,,,,,,,,,
[],[],[],[],[],,,,[],[],298469,Naff,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Noble, precious, valuable', 'description': 'Nafeeza is an Arabic name that carries a sense of refinement and elegance. It suggests someone who is highly regarded and esteemed for their qualities, embodying notions of beauty, luxury, and treasure.'}, {'origin': 'Persian', 'meanings': 'Delicate, refined, elegant', 'description': 'In Persian, Nafeeza holds a similar connotation of delicacy and grace. It evokes a sense of refinement and beauty, suggesting someone who possesses a gentle and enchanting aura.'}]",['Muslim'],[],[],[],Feminine,nah-fee-zah,,[],"['Nafeesa', 'Nafezah', 'Nafeesa', 'Nafeezah']",298464,Nafeeza,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'precious, valuable, rare', 'description': None}, {'origin': 'Persian', 'meanings': 'worthy, noble', 'description': None}, {'origin': 'Swahili', 'meanings': 'delicate, graceful', 'description': None}]",['Muslim'],[],[],"['Nafi', 'Naf', 'Fee', 'Fia']",Feminine,nuh-FEE-uh,,[],"['Nafisa', 'Nafeesa', 'Nafeesha', 'Nafiha', 'Nafeesa', 'Nafeesa', 'Nafeesa', 'Nafeeza', 'Nafeesa', 'Nafeesa']",298476,Nafia,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Beneficial, Useful', 'description': 'Nafid is a name of Arabic origin.'}]",[],[],[],[],Masculine,nah-fid,low,[],[],298478,Nafid,,,,,,,,,,
"[{'origin': 'Swahili', 'meanings': 'simple, naive, without complexity', 'description': 'Nafidi in Swahili means simple or naive, without any complexity.'}]",[],[],[],[],Unisex,nah-fee-dee,,[],[],298479,Nafidi,,,,,,,,,,
"[{'origin': 'Hebrew', 'meanings': 'Jehovah is my God', 'description': ""A masculine name that refers to one who believes in God's existence and faithfulness.""}, {'origin': 'Biblical', 'meanings': 'God is my salvation', 'description': ""Reflects the speaker's trust and reliance on God as a source of safety and deliverance.""}, {'origin': 'Irish', 'meanings': 'God has graced me', 'description': 'A Gaelic name that expresses gratitude for the blessings and favor of a divine being.'}]","['Christianity', 'Judaism']",[],"['Isaiah', 'Eliana', 'Abigail', 'Elijah', 'Jeremiah']","['Eli', 'Elia', 'Ely', 'Yaya']",Masculine,ee-LYE-uh,83,[],"['Elijah', 'Elias', 'Elisha', 'Elyas', 'Eliyahu']",298477,Nafiah,,,,,,,,,,
[],[],[],[],[],,,,[],[],298480,Nafie,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Little Seedling', 'description': None}]",['Islam'],[],"['Adam', 'Ahmad', 'Ali', 'Ayman', 'Bilal', 'Farah', 'Halima', 'Hana', 'Ibrahim', 'Jamal', 'Karim', 'Khalid', 'Laila', 'Maryam', 'Mohamed', 'Mustafa', 'Omar', 'Osama', 'Qasim', 'Saad', 'Salim', 'Sara', 'Tarik', 'Yusuf', 'Zainab']",[],Masculine,nə-fee,,[],"['Naif', 'Nafeh', 'Nafees', 'Nafih', 'Nafiu', 'Nafiullah', 'Nafiz', 'Nafiuddin']",298475,Nafi,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Precious, Valuable, Worthy', 'description': 'Nafiesa is the feminine form of Nafis, meaning ""precious"" or ""valuable"" in Arabic.'}]",[],[],[],[],Feminine,nah-fee-es-ah,,[],"['Nafija', 'Nafeesah', 'Nafisa', 'Nafesah', 'Nafisaa']",298481,Nafiesa,,,,,,,,,,
[],[],[],[],[],,,,[],[],298485,Nafiq,,,,,,,,,,
"[{'origin': 'Albanian', 'meanings': 'Soul, Spirit', 'description': 'Often associated with the concept of a higher power.'}, {'origin': 'Arabic', 'meanings': 'Precious', 'description': 'Represents the value and rarity of the individual.'}]",['Islam'],[],[],['Nafi'],Feminine,,,[],"['Nefija', 'Naafiyah', 'Nafisa', 'Nafie', 'Nafisa']",298482,Nafije,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'volunteer, willing to help as a servant or slave', 'description': ""Derived from the Quranic word 'nafl', which refers to voluntary acts of worship or good deeds that are performed beyond the obligatory ones.""}]",['Islam'],[],[],[],Masculine,nah-FEEL,,[],"['Nabeel', 'Naeem', 'Nafiz', 'Nafis', 'Nasir']",298483,Nafil,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Bounty, Profit', 'description': ""Nafis is an Arabic name that means 'bounty' or 'profit'.""}]",['Muslim'],[],[],[],Masculine,NAH-fis,null,[],[],298486,Nafis,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'supererogatory', 'description': 'This comes from the Arabic word Nafla, which means a supererogatory or optional act of worship in Islam.'}]",['Islam'],[],[],[],Feminine,na-fee-la,,[],[],298484,Nafila,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Precious, Valuable, Exquisite', 'description': None}]",['Muslim'],[],[],[],Feminine,nə-FEE-sa,,[],[],298487,Nafisa,,,,,,,,,,
[],[],[],[],[],Feminine,nuh-FEE-shah,,[],[],298491,Nafisha,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Bountiful, Abundant, Precious, Exquisite', 'description': 'Nafisah is a name of Arabic origin.'}]",[],[],[],[],Feminine,nuh-FEE-suh,,[],[],298488,Nafisah,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'comfort', 'description': 'A name of Arabic origin, meaning “comfort”.'}]",['Muslim'],"['Nafisat is a name of beauty and grace, a name that will bring joy to your heart.']",[],[],Feminine,nah-fee-SAHT,,[],"['Nafeesa', 'Nafisah', 'Nafisa', 'Nafeesa', 'Nafeesa']",298489,Nafisat,,,,,,,,,,
"[{'origin': 'Persian', 'meanings': 'Delicate, Tender', 'description': None}]",[],[],[],[],Feminine,,,[],[],298492,Nafisi,,,,,,,,,,
"[{'origin': 'Persian', 'meanings': 'Precious, valuable, expensive, delicate', 'description': 'The name Nafiseh is derived from the Persian word ""nafis"", which means ""precious"", ""valuable"", ""expensive"", and ""delicate.""'}, {'origin': 'Arabic', 'meanings': 'Bountiful, plentiful, abundant', 'description': 'In Arabic, the name Nafiseh means ""bountiful"", ""plentiful"", and ""abundant.""'}]",['Muslim'],[],[],"['Nafsi', 'Nafi']",Feminine,NAH-fee-seh,,[],"['Nafeesa', 'Nafeesah']",298490,Nafiseh,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Delicate, Highly Prized, Precious', 'description': None}]",[],[],[],[],Feminine,NAH-FEE-soh,,[],[],298493,Nafiso,,,,,,,,,,
"[{'origin': 'Wolof', 'meanings': 'successful, accomplished', 'description': None}]",[],[],[],[],Feminine,nah-fee-sah-too,,[],[],298495,Nafissatou,,,,,,,,,,
"[{'origin': 'Turkish', 'meanings': 'beneficial, useful', 'description': None}]",[],[],[],[],Feminine,nah-fee-YEH,,[],[],298497,Nafiye,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Delicate, soft, gentle, precious', 'description': None}]",['Muslim'],[],[],"['Naf', 'Nafy', 'Fissie', 'Fifi']",Feminine,naf-EE-sa or nah-FEE-sa,,[],"['Nafeesa', 'Nafeeza', 'Nafeesa', 'Nafisa', 'Nafeesa', 'Nafeesa', 'Nafeesa', 'Nafeesa', 'Nafisa', 'Nafeesa', 'Nafeesa', 'Nafeesa', 'Nafeesa']",298494,Nafissa,,,,,,,,,,
"[{'origin': 'Arabic', 'meanings': 'Benefit, Profit, Rich', 'description': ""Nafiu is an Arabic name that means 'benefit' or 'profit'. It is often used as a boy's name.""}]",['Muslim'],[],"['Ibrahim', 'Muhammad', 'Umar', 'Ali', 'Fatima']","['Naf', 'Naf-Naf', 'Naf-ee', 'Naf-u', 'Nafi']",Masculine,nah-fee-oo,,[],"['Nafees', 'Nafi', ""Nafi'i"", 'Nafih', 'Nafiu-deen']",298496,Nafiu,,,,,,,,,,
